Time (s),Angle (deg),Torque (Nm),Cycle
0.002438,0.000000,0.034632,1
0.011168,0.300015,0.086639,1
0.022742,0.600030,0.091281,1
0.033672,0.900045,0.066834,1
0.044202,1.200060,0.082995,1
0.055453,1.500075,0.121272,1
0.066378,1.800090,0.206559,1
0.076961,2.100105,0.200960,1
0.087776,2.400120,0.225549,1
0.098808,2.700135,0.219531,1
0.109809,3.000150,0.197869,1
0.121055,3.300165,0.215174,1
0.131863,3.600180,0.300161,1
0.142741,3.900195,0.320360,1
0.153120,4.200210,0.354651,1
0.163124,4.500225,0.338582,1
0.174123,4.800240,0.350585,1
0.185004,5.100255,0.349200,1
0.196530,5.400270,0.379303,1
0.206642,5.700285,0.401143,1
0.217639,6.000300,0.461347,1
0.228634,6.300315,0.446880,1
0.240548,6.600330,0.454186,1
0.250875,6.900345,0.445915,1
0.262119,7.200360,0.450966,1
0.272706,7.500375,0.493334,1
0.283722,7.800390,0.530540,1
0.294858,8.100405,0.528295,1
0.305729,8.400420,0.552555,1
0.316786,8.700435,0.506999,1
0.327708,9.000450,0.542101,1
0.338744,9.300465,0.557631,1
0.349768,9.600480,0.583823,1
0.360800,9.900495,0.630732,1
0.372398,10.200510,0.636193,1
0.383470,10.500525,0.612983,1
0.394592,10.800540,0.586035,1
0.405425,11.100555,0.605988,1
0.416408,11.400570,0.687639,1
0.427492,11.700585,0.706691,1
0.438717,12.000600,0.728218,1
0.449699,12.300615,0.686448,1
0.460436,12.600630,0.701167,1
0.471428,12.900645,0.675444,1
0.482493,13.200660,0.710876,1
0.493481,13.500675,0.762784,1
0.504823,13.800690,0.641527,1
0.515412,14.100705,0.671445,1
0.526440,14.400720,0.651172,1
0.537414,14.700735,0.656716,1
0.549443,15.000750,0.695308,1
0.561158,15.300765,0.729569,1
0.571581,15.600780,0.762949,1
0.582553,15.900795,0.750285,1
0.592699,16.200810,0.753338,1
0.602851,16.500825,0.719194,1
0.613084,16.800840,0.723567,1
0.624224,17.100855,0.798856,1
0.635063,17.400870,0.822244,1
0.646016,17.700885,0.846928,1
0.656548,18.000900,0.840002,1
0.667337,18.300915,0.836103,1
0.678491,18.600930,0.821662,1
0.689627,18.900945,0.826213,1
0.699806,19.200960,0.880429,1
0.710190,19.500975,0.907746,1
0.720309,19.800990,0.956256,1
0.730385,20.101005,0.937779,1
0.741263,20.401020,0.917053,1
0.753276,20.701035,0.983321,1
0.763968,21.001050,0.962307,1
0.774208,21.301065,1.015166,1
0.785030,21.601080,1.040024,1
0.795147,21.901095,1.030264,1
0.805293,22.201110,0.984459,1
0.815998,22.501125,0.984814,1
0.826155,22.801140,1.040329,1
0.836328,23.101155,1.068993,1
0.846435,23.401170,1.114110,1
0.856848,23.701185,1.118637,1
0.867938,24.001200,1.115015,1
0.879050,24.301215,1.077383,1
0.889569,24.601230,1.122459,1
0.900007,24.901245,1.134096,1
0.910289,25.201260,1.177653,1
0.921268,25.501275,1.199427,1
0.932717,25.801290,1.217613,1
0.943094,26.101305,1.180996,1
0.954223,26.401320,1.189122,1
0.964468,26.701335,1.229058,1
0.975514,27.001350,1.250197,1
0.986419,27.301365,1.308518,1
0.998872,27.601380,1.264428,1
1.009579,27.901395,1.295338,1
1.020474,28.201410,1.260644,1
1.031784,28.501425,1.277246,1
1.042474,28.801440,1.331155,1
1.053690,29.101455,1.368440,1
1.064171,29.401470,1.366001,1
1.075211,29.701485,1.340245,1
1.086083,30.001500,1.368730,1
1.097068,30.301515,1.337338,1
1.108046,30.601530,1.384590,1
1.120248,30.901545,1.422978,1
1.132558,31.201560,1.475060,1
1.142631,31.501575,1.437169,1
1.153703,31.801590,1.436697,1
1.164689,32.101605,1.463278,1
1.177723,32.401620,1.451906,1
1.188731,32.701635,1.492220,1
1.199622,33.001650,1.541433,1
1.209646,33.301665,1.551877,1
1.220043,33.601680,1.550999,1
1.230387,33.901695,1.558532,1
1.242189,34.201710,1.528019,1
1.253192,34.501725,1.599089,1
1.263827,34.801740,1.605580,1
1.274213,34.898245,1.628419,1
1.285047,34.598230,1.553619,1
1.296177,34.298215,1.543585,1
1.306873,33.998200,1.477137,1
1.317062,33.698185,1.483621,1
1.327542,33.398170,1.465546,1
1.337614,33.098155,1.501891,1
1.348171,32.798140,1.448026,1
1.358316,32.498125,1.473648,1
