Time (s),Angle (deg),Torque (Nm),Cycle
0.000000,36.000000,5.009330,1
0.100000,36.000000,5.009330,1
0.200000,36.000000,5.009330,1
0.300000,36.000000,5.009330,1
0.400000,36.000000,5.009330,1
0.500000,36.000000,5.009330,1
0.600000,36.000000,5.009330,1
0.700000,36.000000,5.009330,1
0.800000,36.000000,5.009330,1
0.900000,36.000000,5.009330,1
1.000000,36.000000,5.009330,1
1.100000,36.000000,5.009330,1
1.200000,36.000000,5.009330,1
1.300000,36.000000,5.009330,1
1.400000,36.000000,5.009330,1
1.500000,36.000000,5.009330,1
1.600000,36.000000,4.985746,1
1.700000,36.000000,4.981068,1
1.800000,36.000000,4.981245,1
1.900000,36.000000,5.010275,1
2.000000,36.000000,5.016573,1
2.100000,10.697690,3.097714,1
2.200000,3.227179,3.698738,1
2.300000,0.988435,4.325501,1
2.400000,0.312775,2.973201,1
2.500000,0.101146,3.803086,1
2.600000,0.033206,4.386186,1
2.700000,0.011040,4.663480,1
2.800000,0.003721,4.879755,1
2.900000,0.001281,4.967007,1
3.000000,0.000451,4.970672,1
3.100000,0.000162,4.999383,1
3.200000,0.000060,4.987748,1
3.300000,0.000023,4.996619,1
3.400000,0.000009,4.987278,1
3.500000,0.000003,5.002236,1
3.600000,0.000001,5.007822,1
3.700000,0.000001,5.015574,1
3.800000,0.000000,4.987822,1
3.900000,0.000000,5.046377,1
4.000000,0.000000,5.059052,1
4.100000,0.000000,5.041099,1
4.200000,0.000000,5.036917,1
4.300000,0.000000,5.059886,1
4.400000,0.000000,5.031364,1
4.500000,0.000000,5.014625,1
4.600000,0.000000,5.004515,1
4.700000,0.000000,4.977164,1
4.800000,0.000000,4.985546,1
4.900000,0.000000,5.008754,1
5.000000,0.000000,5.024085,1
5.100000,0.000000,4.984460,1
5.200000,0.000000,4.972613,1
5.300000,0.000000,4.981522,1
5.400000,0.000000,4.976324,1
5.500000,0.000000,4.952428,1
5.600000,0.000000,4.953781,1
5.700000,0.000000,4.981161,1
5.800000,0.000000,5.008541,1
5.900000,0.000000,5.051846,1
6.000000,0.000000,5.043444,1
6.100000,0.000000,5.044875,1
6.200000,0.000000,4.966166,1
6.300000,0.000000,4.998677,1
6.400000,0.000000,4.997589,1
6.500000,0.000000,4.966289,1
6.600000,0.000000,4.985614,1
6.700000,0.000000,5.029260,1
6.800000,0.000000,4.997709,1
6.900000,0.000000,4.991289,1
7.000000,0.000000,5.002873,1
7.100000,0.000000,5.000643,1
7.200000,0.000000,5.039978,1
7.300000,0.000000,5.063912,1
7.400000,0.000000,5.081398,1
7.500000,0.000000,5.036771,1
7.600000,0.000000,5.006417,1
7.700000,0.000000,5.013403,1
7.800000,0.000000,5.022051,1
7.900000,0.000000,5.051266,1
8.000000,0.000000,5.039476,1
8.100000,0.000000,5.070932,1
8.200000,0.000000,5.050354,1
8.300000,0.000000,5.010294,1
8.400000,0.000000,5.003041,1
8.500000,0.000000,4.980757,1
8.600000,0.000000,5.007459,1
8.700000,0.000000,4.961437,1
8.800000,0.000000,4.984752,1
8.900000,0.000000,4.997754,1
9.000000,0.000000,3.186200,1
9.100000,0.000000,1.793161,1
9.200000,0.000000,0.968957,1
9.300000,0.000000,0.489432,1
9.400000,0.000000,0.221208,1
9.500000,0.000000,0.089874,1
9.600000,0.000000,0.040904,1
9.700000,0.000000,0.008411,1
9.800000,0.000000,0.002365,1
9.900000,0.000000,-0.001580,1
10.000000,0.000000,0.007995,1
10.100000,0.000000,0.033830,1
10.200000,0.000000,0.020831,1
10.300000,0.000000,0.005445,1
10.400000,0.000000,-0.001431,1
10.500000,0.000000,-0.002102,1
10.600000,0.000000,0.009663,1
10.700000,0.000000,0.022556,1
10.800000,0.000000,0.015884,1
10.900000,0.000000,0.018410,1
11.000000,0.000000,0.014365,1
11.100000,0.000000,-0.000948,1
11.200000,0.000000,0.000770,1
11.300000,0.000000,0.014226,1
11.400000,0.000000,0.027681,1
11.500000,0.000000,-0.009113,1
11.600000,0.000000,-0.020209,1
11.700000,0.000000,-0.029439,1
11.800000,0.000000,0.015683,1
11.900000,0.000000,0.023787,1
12.000000,0.000000,0.039255,1
12.100000,0.000000,0.076091,1
12.200000,0.000000,0.092286,1
12.300000,0.000000,0.019248,1
