%===============================================================
%     CTR DATA FORMAT #1 (Revision 2019.06.27)
%     ZE-SG3 Torque Data – DYJN-101 50Nm
%===============================================================
BEGIN_OF_HEADER
SAVED_DATE = 06/09/2026 08:11:18 PM
SAMPLE_INTERVAL_MS = 10
NUMBER_OF_COLUMNS = 7
COLUMN_NAME = [Save,State,Cycle,Time,Command,Angle,Torque]
COLUMN_UNIT = [NA,NA,Cycle,sec,Dgree,Dgree,N*m]
COLUMN_LENGTH = [2466,2466,2466,2466,2466,2466,2466]
COLUMN_MAXIMUM = [1.000000,3.000000,3.000000,24.650000,0.000000,35.879997,2.267800]
COLUMN_MINIMUM = [1.000000,3.000000,1.000000,0.000000,0.000000,-35.889761,-2.229112]
END_OF_HEADER
1,3,1,0.000000,0.000000,1.460000,-2.229112
1,3,1,0.010000,0.000000,1.460000,-2.229112
1,3,1,0.020000,0.000000,1.460000,-2.229112
1,3,1,0.030000,0.000000,1.460000,-2.229112
1,3,1,0.040000,0.000000,1.460000,-2.229112
1,3,1,0.050000,0.000000,1.460000,-2.229112
1,3,1,0.060000,0.000000,1.460000,-2.229112
1,3,1,0.070000,0.000000,1.460000,-2.229112
1,3,1,0.080000,0.000000,1.460000,-2.229112
1,3,1,0.090000,0.000000,1.460000,-2.229112
1,3,1,0.100000,0.000000,1.460000,-2.229112
1,3,1,0.110000,0.000000,1.460000,-2.229112
1,3,1,0.120000,0.000000,1.460000,-2.204567
1,3,1,0.130000,0.000000,1.460000,-2.180022
1,3,1,0.140000,0.000000,1.460000,-2.155477
1,3,1,0.150000,0.000000,1.460000,-2.130933
1,3,1,0.160000,0.000000,1.460000,-2.106388
1,3,1,0.170000,0.000000,1.460000,-2.081843
1,3,1,0.180000,0.000000,1.460000,-2.057298
1,3,1,0.190000,0.000000,1.880553,-2.050132
1,3,1,0.200000,0.000000,2.301105,-2.042966
1,3,1,0.210000,0.000000,2.721658,-2.035800
1,3,1,0.220000,0.000000,3.142211,-2.028634
