%===============================================================
%     CTR DATA FORMAT #1 (Revision 2019.06.27)
%     TITLE : ZE-SG3 Torque Test Data File
%===============================================================
BEGIN_OF_HEADER
SAVED_DATE = 06/22/2026 04:02:50 PM
SAMPLE INFO = ///ZE-SG3/
TEST FUNCTION = TRIANGULAR
TEST FREQUENCY =0.000000
TEST CYCLE =1.000000
NUMBER_OF_COLUMNS = 7
COLUMN_NAME = [Save,State,Cycle,Time,Command,Angle,Torque]
COLUMN_UNIT = [NA,NA,Cycle,sec,Dgree,Dgree,N*m]
COLUMN_LENGTH = [3,3,3,3,3,3,3]
COLUMN_MAXIMUM = [1.000000,3.000000,1.000000,0.200000,0.000000,9.800000,0.010935]
COLUMN_MINIMUM = [1.000000,3.000000,1.000000,0.000000,0.000000,9.800000,-0.010018]
COLUMN_START = [1.000000,3.000000,1.000000,0.000000,0.000000,9.800000,-0.010018]
COLUMN_STOP = [1.000000,3.000000,1.000000,0.200000,0.000000,9.800000,0.010935]
COLUMN_DELTA = [0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000]
COLUMN_DELTA_UNIT = [sec,sec,sec,sec,sec,sec,sec]
END_OF_HEADER
1.000000,3.000000,1.000000,0.000000,0.000000,9.800000,-0.010018
1.000000,3.000000,1.000000,0.100000,0.000000,9.800000,-0.010018
1.000000,3.000000,1.000000,0.200000,0.000000,9.800000,0.010935
