Time (s),Angle (deg),Torque (Nm),Cycle,,
0,0,0,1,0,2.627449222
0.002,0.017213,0,1,0,
0.004,0.034426,0,1,0,
0.006,0.051638,0,1,0,
0.008,0.068851,0,1,0,
0.01,0.086064,0,1,0,
0.012,0.103277,0,1,0,
0.014,0.12049,0,1,0,
0.016,0.137702,0,1,0,
0.018,0.154915,0,1,0,
0.02,0.172128,0,1,0,
0.022,0.189341,0,1,0,
0.024,0.206554,0,1,0,
0.026,0.223767,0,1,0,
0.028,0.240979,0,1,0,
0.03,0.258192,0,1,0,
0.032,0.275405,0,1,0,
0.034,0.292618,0,1,0,
0.036,0.309831,0,1,0,
0.038,0.327043,0,1,0,
0.04,0.344256,0,1,0,
0.042,0.361469,0,1,0,
0.044,0.378682,0,1,0,
0.046,0.395895,0,1,0,
0.048,0.413107,0,1,0,
0.05,0.43032,0,1,0,
0.052,0.447533,0,1,0,
0.054,0.464746,0,1,0,
0.056,0.481959,0,1,0,
0.058,0.499171,0,1,0,
0.06,0.516384,0,1,0,
0.062,0.533597,0,1,0,
0.064,0.55081,0,1,0,
0.066,0.568023,0,1,0,
0.068,0.585235,0,1,0,
0.07,0.59,-0.002565,1,0.002565,
0.072,0.59,-0.006757,1,0.006757,
0.074,0.59,-0.010948,1,0.010948,
0.076,0.59,-0.015139,1,0.015139,
0.078,0.59,-0.01933,1,0.01933,
0.08,0.59,-0.501125,1,0.501125,
0.082,0.59,-0.988721,1,0.988721,
0.084,0.59,-1.476316,1,1.476316,
0.086,0.59,-1.963912,1,1.963912,
0.088,0.59,-2.451508,1,2.451508,
0.09,0.59,-2.939103,1,2.939103,
0.092,0.59,-3.426699,1,3.426699,
0.094,0.59,-3.893689,1,3.893689,
0.096,0.59,-3.846763,1,3.846763,
0.098,0.59,-3.799838,1,3.799838,
0.1,0.59,-3.752912,1,3.752912,
0.102,0.59,-3.705986,1,3.705986,
0.104,0.59,-3.65906,1,3.65906,
0.106,0.59,-3.612135,1,3.612135,
0.108,0.59,-3.565209,1,3.565209,
0.11,0.59,-3.503162,1,3.503162,
0.112,0.59,-3.377257,1,3.377257,
0.114,0.59,-3.251352,1,3.251352,
0.116,0.59,-3.125447,1,3.125447,
0.118,0.59,-2.999541,1,2.999541,
0.12,0.59,-2.873636,1,2.873636,
0.122,0.59,-2.75181,1,2.75181,
0.124,0.59,-2.745003,1,2.745003,
0.126,0.59,-2.738196,1,2.738196,
0.128,0.59,-2.73139,1,2.73139,
0.13,0.59,-2.724583,1,2.724583,
0.132,0.59,-2.717776,1,2.717776,
0.134,0.59,-2.710969,1,2.710969,
0.136,0.59,-2.704162,1,2.704162,
0.138,0.59,-2.697355,1,2.697355,
0.14,0.59,-2.690549,1,2.690549,
0.142,0.59,-2.683742,1,2.683742,
0.144,0.59,-2.676935,1,2.676935,
0.146,0.59,-2.671079,1,2.671079,
0.148,0.59,-2.665744,1,2.665744,
