%===============================================================
%     CTR DATA FORMAT #1 (Revision 2019.06.27)
%     TITLE : Ball-Joint Torque Test Data File  
%===============================================================
BEGIN_OF_HEADER
SAVED_DATE = 1/26/2026 5:10:24 PM
SAMPLE INFO = ///DEVELOPMENT/2026-01-23
TEST FUNCTION = TRIANGULAR
TEST FREQUENCY =0.214286
TEST CYCLE =4.000000
NUMBER_OF_COLUMNS = 7
COLUMN_NAME = [Save,State,Cycle,Time,Command,Angle,Torque]
COLUMN_UNIT = [NA,NA,Cycle,sec,Dgree,Dgree,N*m]
COLUMN_LENGTH = [9335,9335,9335,9335,9335,9335,9335]
COLUMN_MAXIMUM = [1.000000,3.000000,4.000000,18.670000,35.000000,34.503018,8.882244]
COLUMN_MINIMUM = [1.000000,3.000000,1.000000,0.002000,-35.000000,-34.493402,-2.127067]
COLUMN_START = [1.000000,3.000000,1.000000,0.002000,0.000000,0.000386,0.043356]
COLUMN_STOP = [1.000000,3.000000,4.000000,18.670000,0.040000,-1.410978,2.058291]
COLUMN_DELTA = [0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000]
COLUMN_DELTA_UNIT = [sec,sec,sec,sec,sec,sec,sec]
END_OF_HEADER
1.000000,3.000000,1.000000,0.002000,0.000000,0.000386,0.043356
1.000000,3.000000,1.000000,0.004000,0.060000,0.000200,0.123283
1.000000,3.000000,1.000000,0.006000,0.120000,-0.000107,0.186206
1.000000,3.000000,1.000000,0.008000,0.180000,-0.000421,0.204726
1.000000,3.000000,1.000000,0.010000,0.240000,-0.000602,0.166941
1.000000,3.000000,1.000000,0.012000,0.300000,-0.000524,0.082971
1.000000,3.000000,1.000000,0.014000,0.360000,-0.000122,-0.016674
1.000000,3.000000,1.000000,0.016000,0.420000,0.000602,-0.091169
1.000000,3.000000,1.000000,0.018000,0.480000,0.001591,-0.104840
1.000000,3.000000,1.000000,0.020000,0.540000,0.002782,-0.042496
1.000000,3.000000,1.000000,0.022000,0.600000,0.004183,0.081523
1.000000,3.000000,1.000000,0.024000,0.660000,0.005930,0.225140
1.000000,3.000000,1.000000,0.026000,0.720000,0.008326,0.332198
1.000000,3.000000,1.000000,0.028000,0.780000,0.011834,0.354639
1.000000,3.000000,1.000000,0.030000,0.840000,0.017006,0.276280
1.000000,3.000000,1.000000,0.032000,0.900000,0.024384,0.129658
1.000000,3.000000,1.000000,0.034000,0.960000,0.034380,-0.001294
1.000000,3.000000,1.000000,0.036000,1.020000,0.047178,0.003970
1.000000,3.000000,1.000000,0.038000,1.080000,0.062693,0.272577
1.000000,3.000000,1.000000,0.040000,1.140000,0.080591,0.900475
1.000000,3.000000,1.000000,0.042000,1.200000,0.100388,1.917813
1.000000,3.000000,1.000000,0.044000,1.260000,0.121587,3.268433
