%===============================================================
%     CTR DATA FORMAT #1 (Revision 2019.06.27)
%     TITLE : Ball-Joint Torque Test Data File  
%===============================================================
BEGIN_OF_HEADER
SAVED_DATE = 5/5/2026 9:47:18 AM
SAMPLE INFO = ///DEVELOPMENT/2026-05-05
TEST FUNCTION = RAMP
TEST FREQUENCY =0.000000
TEST CYCLE =1.000000
NUMBER_OF_COLUMNS = 7
COLUMN_NAME = [Save,State,Cycle,Time,Command,Angle,Torque]
COLUMN_UNIT = [NA,NA,Cycle,sec,Dgree,Dgree,N*m]
COLUMN_LENGTH = [168,168,168,168,168,168,168]
COLUMN_MAXIMUM = [1.000000,1.000000,0.000000,0.336000,10.000000,8.584676,6.491167]
COLUMN_MINIMUM = [1.000000,1.000000,0.000000,0.002000,0.000000,-0.000222,0.436805]
COLUMN_START = [1.000000,1.000000,0.000000,0.002000,0.000000,0.000218,0.479319]
COLUMN_STOP = [1.000000,1.000000,0.000000,0.336000,10.000000,8.584676,1.395814]
COLUMN_DELTA = [0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000]
COLUMN_DELTA_UNIT = [sec,sec,sec,sec,sec,sec,sec]
END_OF_HEADER
1.000000,1.000000,0.000000,0.002000,0.000000,0.000218,0.479319
1.000000,1.000000,0.000000,0.004000,0.060000,0.000080,0.511741
1.000000,1.000000,0.000000,0.006000,0.120000,-0.000097,0.552566
1.000000,1.000000,0.000000,0.008000,0.180000,-0.000222,0.586556
1.000000,1.000000,0.000000,0.010000,0.240000,-0.000192,0.599788
1.000000,1.000000,0.000000,0.012000,0.300000,0.000069,0.585225
1.000000,1.000000,0.000000,0.014000,0.360000,0.000592,0.546107
1.000000,1.000000,0.000000,0.016000,0.420000,0.001359,0.495688
1.000000,1.000000,0.000000,0.018000,0.480000,0.002323,0.453124
1.000000,1.000000,0.000000,0.020000,0.540000,0.003459,0.436805
1.000000,1.000000,0.000000,0.022000,0.600000,0.004817,0.457599
1.000000,1.000000,0.000000,0.024000,0.660000,0.006575,0.514724
1.000000,1.000000,0.000000,0.026000,0.720000,0.009066,0.596293
1.000000,1.000000,0.000000,0.028000,0.780000,0.012760,0.684944
1.000000,1.000000,0.000000,0.030000,0.840000,0.018213,0.767039
1.000000,1.000000,0.000000,0.032000,0.900000,0.025978,0.842295
1.000000,1.000000,0.000000,0.034000,0.960000,0.036502,0.930068
1.000000,1.000000,0.000000,0.036000,1.020000,0.050041,1.069144
1.000000,1.000000,0.000000,0.038000,1.080000,0.066613,1.309784
1.000000,1.000000,0.000000,0.040000,1.140000,0.086006,1.699323
1.000000,1.000000,0.000000,0.042000,1.200000,0.107838,2.265038
1.000000,1.000000,0.000000,0.044000,1.260000,0.131663,2.999449
1.000000,1.000000,0.000000,0.046000,1.320000,0.157088,3.853110
1.000000,1.000000,0.000000,0.048000,1.380000,0.183880,4.738168
1.000000,1.000000,0.000000,0.050000,1.440000,0.212024,5.543006
1.000000,1.000000,0.000000,0.052000,1.500000,0.241724,6.154962
1.000000,1.000000,0.000000,0.054000,1.560000,0.273353,6.485507
1.000000,1.000000,0.000000,0.056000,1.620000,0.307347,6.491167
1.000000,1.000000,0.000000,0.058000,1.680000,0.344098,6.184394
1.000000,1.000000,0.000000,0.060000,1.740000,0.383850,5.631190
1.000000,1.000000,0.000000,0.062000,1.800000,0.426642,4.935934
