%===============================================================
%     CTR DATA FORMAT #1 (Revision 2019.06.27)
%     TITLE : Ball-Joint Torque Test Data File  
%===============================================================
BEGIN_OF_HEADER
SAVED_DATE = 12/18/2025 9:22:08 AM
SAMPLE INFO = ///DEVELOPMENT/2025-12-17
TEST FUNCTION = TRIANGULAR
TEST FREQUENCY =0.323276
TEST CYCLE =4.000000
NUMBER_OF_COLUMNS = 7
COLUMN_NAME = [Save,State,Cycle,Time,Command,Angle,Torque]
COLUMN_UNIT = [NA,NA,Cycle,sec,Dgree,Dgree,N*m]
COLUMN_LENGTH = [6188,6188,6188,6188,6188,6188,6188]
COLUMN_MAXIMUM = [1.000000,3.000000,4.000000,12.376000,23.200000,22.682674,2.550143]
COLUMN_MINIMUM = [1.000000,3.000000,1.000000,0.002000,-23.200000,-22.688479,-1.340345]
COLUMN_START = [1.000000,3.000000,1.000000,0.002000,0.000000,0.000092,0.081794]
COLUMN_STOP = [1.000000,3.000000,4.000000,12.376000,0.020000,-1.431270,1.168532]
COLUMN_DELTA = [0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000]
COLUMN_DELTA_UNIT = [sec,sec,sec,sec,sec,sec,sec]
END_OF_HEADER
1.000000,3.000000,1.000000,0.002000,0.000000,0.000092,0.081794
1.000000,3.000000,1.000000,0.004000,0.060000,-0.000067,0.075822
1.000000,3.000000,1.000000,0.006000,0.120000,-0.000234,0.050367
1.000000,3.000000,1.000000,0.008000,0.180000,-0.000337,0.013349
1.000000,3.000000,1.000000,0.010000,0.240000,-0.000307,-0.021870
1.000000,3.000000,1.000000,0.012000,0.300000,-0.000098,-0.041105
1.000000,3.000000,1.000000,0.014000,0.360000,0.000303,-0.034891
1.000000,3.000000,1.000000,0.016000,0.420000,0.000891,-0.002899
1.000000,3.000000,1.000000,0.018000,0.480000,0.001665,0.044592
1.000000,3.000000,1.000000,0.020000,0.540000,0.002669,0.089196
1.000000,3.000000,1.000000,0.022000,0.600000,0.004026,0.110527
1.000000,3.000000,1.000000,0.024000,0.660000,0.005964,0.094246
1.000000,3.000000,1.000000,0.026000,0.720000,0.008819,0.039431
1.000000,3.000000,1.000000,0.028000,0.780000,0.013007,-0.037420
1.000000,3.000000,1.000000,0.030000,0.840000,0.018973,-0.103630
1.000000,3.000000,1.000000,0.032000,0.900000,0.027124,-0.117175
